PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Hill Slope,IC50 NormChi2,IC50 StdDev Modifier,IC50 StdDev,Max CPE Inhibition,Max CPE Inibition Conc,Min CPE Inhibition,Min CPE Inhibition Conc,CPE Inhibition @ 20 uM,CPE Inhibition @ 10 uM,CPE Inhibition @ 5 uM,CPE Inhibition @ 2.5 uM,CPE Inhibition @ 1.25 uM,CPE Inhibition @ 0.625 uM,CPE Inhibition @ 0.313 uM,CPE Inhibition @ 0.156 uM,CPE Inhibition @ 0.078 uM,CPE Inhibition @ 0.039 uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,Maximum Inhibition achieved across all concentrations,Concentration (uM) at Maximum Inhibition,Minimum Inhibition achieved across all concentrations,Concentration (uM) at Minimum Inhibition,,,,,,,,,,
RESULT_UNIT,,,,,,,,,MICROMOLAR,NONE,NONE,,NONE,PERCENT,MICROMOLAR,PERCENT,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
352,14730004,1477453,CC1=C(N(C(=C1C#N)NC(=O)NC2=CC(=CC=C2)Cl)CC3=CC=C(C=C3)OC)C,Inactive,0,,,,,,,,,14.37,5,-1.57,0.078,10.61,8.6,14.37,11.09,5.59,4.45,2.48,-0.53,-1.57,3.12
353,14737177,9550947,CC1=C2C(=CC=C1)OCC3=C2SC(=C3)C(=O)NC4=NC=CS4,Inactive,0,,,,,,,,,27.01,20,-1.78,0.078,27.01,13.24,6.38,10.06,5.62,2.49,3.65,1.44,-1.78,0.08
354,14746020,135415821,CCCC1=CC(=O)NC(=N1)SCC(=O)NC,Inactive,0,,,,,,,,,3.32,5,-1.97,10,-0.15,-1.97,3.32,1.23,2.1,2.27,1.63,-0.27,-0.62,2.17
355,16952717,3435469,CC1CC2=CC=CC=C2N1C(=O)CSC3=CC=CC=C3,Inactive,0,,,,,,,,,3.62,0.313,-2.72,10,-1.84,-2.72,-1.67,-2.35,0.24,-1.68,3.62,-1.21,2.11,-0.11
356,17385611,2495854,CC1=CC(=C(C=C1C)O)CN2CCN(CC2)C3=CC=CC=C3OC,Inactive,0,,,,,,,,,25.1,20,-1.7,0.078,25.1,12.79,8.58,7.55,4.12,4.11,4.42,2.1,-1.7,4.1
357,14721875,3220444,CC1CC2=CC=CC=C2N1C(=O)CSC3=NN=C(S3)NC(=O)C(C)C,Inactive,0,,,,,,,,,11.53,20,-1.12,0.313,11.53,9.18,1.9,0.98,5.25,0.55,-1.12,1.3,1.27,1.72
358,17402348,4594520,CC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2SCC3CSC4=NC5=CC=CC=C5C(=O)N34,Inactive,0,,,,,,,,,14.59,20,-3.52,5,14.59,4.99,-3.52,1.71,0.95,-1.84,1.3,4.61,4.67,0.66
359,17415004,2951815,CC1=CC(=CC(=C1)CC2CC(=O)N(C2=O)C3=NC4=C(S3)C=C(C=C4)OC)C,Inactive,0,,,,,,,,,13.61,20,-0.26,0.313,13.61,5.82,3.42,2.67,1.46,1.28,-0.26,5.32,1.19,1.92
360,17387269,1004705,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=C(NN=C2)C3=CC=C(C=C3)Cl)/C#N,Inactive,0,,,,,,,,,13.77,10,-0.05,0.039,12.6,13.77,10,8.44,3.67,2.13,0,5.44,2.07,-0.05
361,17406969,3653165,CC1=CC(=CC=C1)CSC2=NN=C(S2)NC(=O)CSC3=NN=C(S3)C,Inactive,0,,,,,,,,,17.29,20,-1.51,0.039,17.29,6.07,4.95,2.45,2.8,-0.65,2.98,1.64,-1.09,-1.51
362,17413141,2967150,CC1=CC=CC=C1CSC2=NN=C(S2)NC(=O)C3COC4=CC=CC=C4O3,Inactive,0,,,,,,,,,18.93,20,0.26,0.039,18.93,7.72,5.48,2.93,3.78,3.03,5.37,1.93,4.23,0.26
363,14746003,9552003,CCN(CC)CC.C1=CC=C(C=C1)C2=NC(ON2)C3=CC(=C(C(=C3)Br)O)Br,Inactive,0,,,,,,,,,23.91,20,-3.6,0.039,23.91,11.03,8.33,5.74,4.44,2.98,3.5,1.55,-2.69,-3.6
364,14742452,5344562,C1CC2=C(C1)SC3=C2C(=O)OC(=N3)/C=C/C4=CC=CO4,Inactive,0,,,,,,,,,21.94,20,-3.71,0.039,21.94,12.71,3.62,0.33,-0.61,-0.81,-0.41,2.23,-0.33,-3.71
365,17386056,2887241,CCOC(=O)C1=C(SC=C1C2=CC=C(C=C2)C)NC(=O)C3CC=CCC3C(=O)O,Inactive,0,,,,,,,,,18.11,20,-3.76,0.078,18.11,13.31,2.81,1.79,0.78,-1.46,-1.18,-1.57,-3.76,1.16
366,17411343,1477185,C1=CC(=CC=C1C2=CC(=C(C(=O)N2)C#N)C(F)(F)F)Cl,Inactive,0,,,,,,,,,25.9,20,-4.06,0.625,25.9,22.38,14.33,5.06,1.17,-4.06,-2.17,0.4,-3.19,-3.31
367,17411000,3723038,COC(=O)C1=C(C=CS1)NC(=O)CSC2=CC=CC=C2NS(=O)(=O)C3=CC=C(C=C3)Br,Inactive,0,,,,,,,,,18.52,20,-2.14,0.625,18.52,2.45,2.12,-1.16,0.53,-2.14,0.43,0.58,2.61,3.1
368,17388010,5933622,C/C(=N\NC(=O)COC1=CC=C(C=C1)[N+](=O)[O-])/C(C)(C)C,Inactive,0,,,,,,,,,5.57,1.25,-0.05,0.078,4.19,2.93,4.28,0.84,5.57,2.75,4.4,1.79,-0.05,3.37
369,17410261,1474615,C1=CC=C(C=C1)C2=NC=C(C(=N2)SC3=CC=CC=C3Cl)C(=O)O,Inactive,0,,,,,,,,,11.75,20,-3.92,0.039,11.75,11.05,4.05,1.48,2.19,-2.44,2.43,0.31,-3.68,-3.92
370,17385767,5003862,COC1=CC2=C(C=C1)C=C(C=C2)C3=NC4=CC=CC=C4C(=C3)C(=O)O,Inactive,0,,,,,,,,,12.67,20,-1.86,0.078,12.67,5.06,4.28,2.84,8.67,1.17,-0.13,0.62,-1.86,1.27
371,17387758,5431769,C/C(=N/NS(=O)(=O)C1=CC=C(C=C1)OC)/C2=CC(=CC=C2)NC(=O)C3=CC=CC=C3Cl,Inactive,0,,,,,,,,,14.96,20,-1.04,0.039,14.96,5.21,2.53,4.15,3.11,2.32,0.35,1.72,3.11,-1.04
372,14729119,2231188,CC1=CC2=C(C=C1)N=C(OC2=O)C3=CC=C(O3)Br,Inactive,0,,,,,,,,,21.26,20,-5.12,5,21.26,10.93,-5.12,7.8,2.17,4.37,4.02,-0.31,1.54,1.09
373,16953373,2081953,CC1=CC(=CC(=C1)N(CCC#N)C(=O)CSC2=CC=C(C=C2)NC(=O)C)C,Inactive,0,,,,,,,,,18.03,20,-0.23,0.039,18.03,5.6,4.83,1.33,2.84,-0.01,2.22,0.34,-0.17,-0.23
374,14738628,9551507,CC1=NN2C(=N)/C(=C\C3=CC=C(O3)SCC4=CC=CC=C4)/C(=O)N=C2S1,Inactive,0,,,,,,,,,21.14,20,0.04,,21.14,17.57,11.37,6.16,6.29,0.04,1.58,0.04,3.84,0.19
375,17412114,1474595,C1=CC=C(C=C1)C2=NC=C(C(=N2)SC3=CC=C(C=C3)Cl)C(=O)O,Inactive,0,,,,,,,,,15.25,20,-1.45,0.039,15.25,12.44,3.31,1.57,0.65,,4.68,-1.03,1.44,-1.45
376,14732530,2838273,CCOC(=O)C1CCCN(C1)CC2=CC=CC=C2Cl,Inactive,0,,,,,,,,,6.39,0.313,1.52,2.5,6.31,2.4,4.59,1.52,1.94,3.94,6.39,3.39,1.97,2.07
377,17386566,1236180,CCOC(=O)C1=NN(C2=NC(=CC(=O)N12)NC3=CC=CC=C3)C4=CC=C(C=C4)Cl,Inactive,0,,,,,,,,,28.86,20,-0.92,0.078,28.86,21.03,8.86,6.39,11.42,0.19,0.52,-0.07,-0.92,0.31
378,17414673,1994324,C1=CC=C(C=C1)CSC2=NSC3=NC(=O)/C(=C\C4=CC=CS4)/C(=N)N32,Inactive,0,,,,,,,,,29.3,20,-2.14,0.039,29.3,19.76,18.03,7.92,7.45,1.79,-0.64,-1.03,5.01,-2.14
379,14741140,5939237,CN(C)CC1=C2C(=CC(=C1O)Cl)C3=C(CCCC3)C(=O)O2,Inactive,0,,,,,,,,,4.83,2.5,-0.25,20,-0.25,0.85,0.37,4.83,1.67,2.85,1.28,0.85,-0.17,0.16
380,16953180,1469647,COC(=O)C1=CC=CC=C1NC(=O)CN2CCC(CC2)N3C4=C(C=C(C=C4)C(F)(F)F)N=N3,Inactive,0,,,,,,,,,28.44,10,-1.22,0.078,16.31,28.44,23.55,21.98,11.57,6.17,3.98,-0.41,-1.22,0.21
381,14740573,5735947,CC1=C(C=C(C=C1)C(=O)O)C2=CC=C(O2)/C=C/3\C(=O)N(C(=O)N3)C4=CC=CC=C4,Inactive,0,,,,,,,,,19.95,20,0.43,0.625,19.95,12.28,6.33,4.64,3.18,0.43,3.22,0.51,6.43,1.35
382,14736988,2851395,C1CN(CCC1CC2=CC=CC=C2)C3CC(=O)N(C3=O)CCC4=CC=CC=C4,Inactive,0,,,,,,,,,3.89,20,0.47,0.625,3.89,1.65,3.08,0.62,1.15,0.47,3.12,0.68,1.97,1.19
383,17387370,3399308,C1C(OC2=CC=CC=C2O1)C(=O)NC3=NN=C(S3)SCC4=CC=CC=C4Cl,Inactive,0,,,,,,,,,16.74,20,0.36,0.039,16.74,9.47,7.18,6.76,4.21,4.12,6.06,1.96,5.27,0.36
384,14738547,3622378,C1=CC(=CC=C1C2=CC(N3C(=NC=N3)N2)C4=C(C=CC(=C4)Br)F)Br,Inactive,0,,,,,,,,,5.6,0.078,-3.32,2.5,2.77,-0.74,-1.35,-3.32,0.81,3.53,0.9,-0.24,5.6,1.14
385,17409797,135511008,CCSC1=NC2=C(C(=O)N1)SC3=C2C(=CC(=N3)C)C,Inactive,0,,,,,,,,,18.01,20,-2.86,0.039,18.01,2.78,-2.23,-1.22,3.1,0.24,0.97,-2.64,-0.95,-2.86
386,16952411,135495475,C1=COC(=C1)C2=C(C(=O)NC(=N2)SCC(=O)NC3=CC=C(C=C3)S(=O)(=O)N)C#N,Inactive,0,,,,,,,,,7.07,5,-1.91,0.078,4.9,0.59,7.07,2.42,2.56,-1.77,0.23,2.51,-1.91,0.77
387,17515496,6504579,CC1=CC=C(C=C1)NC(=O)/C(=C/C=C/C2=CC=CC=C2)/NC(=O)C3=CC=CC=C3,Inactive,0,,,,,,,,,19.45,20,-0.18,0.039,19.45,11.84,12.43,17.96,7.65,6.12,4.78,3.26,2.69,-0.18
388,17408447,3221589,CCOCCCNC(=S)NCCNC1=NC2=C(C=CC=C2C=C1C#N)C,Inactive,0,,,,,,,,,7.38,20,0.38,1.25,7.38,4.18,0.44,4.08,0.38,3.43,4.26,2.93,4.93,4.62
389,17407174,11958475,CC(C)C1=CC=C(C=C1)SCC2=NOC(=C2C(=O)O)C(=O)NCC=C,Inactive,0,,,,,,,,,4.07,1.25,-3.09,0.078,1.33,-1.72,-1.32,2.92,4.07,-0.19,-0.03,1.41,-3.09,-1.43
390,17411715,2854638,C1C(C2=C(C3=CC=CC=C3C=C2)NC1=O)C4=CC(=CC=C4)[N+](=O)[O-],Inactive,0,,,,,,,,,9.73,10,-2.31,0.156,8.81,9.73,1.39,4.98,4.68,-1.12,2.1,-2.31,4.18,1.64
391,17386181,2319222,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC4=C(C=CC(=C4)O)OC3=O)C=O,Inactive,0,,,,,,,,,9.88,20,0.32,0.039,9.88,4.37,1.67,4.59,3.62,2.49,2.53,1.79,9.13,0.32
392,17385657,3951768,COC1=C(C=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=NC=C4)OC,Inactive,0,,,,,,,,,22.94,10,-5.27,0.039,20.15,22.94,3.8,4.12,3.57,2.23,1.84,0.56,3.11,-5.27
393,17388531,4151814,CCOC(=O)C1=C(SC=C1C2=CC(=C(C=C2)C)C)NC(=O)C3CC=CCC3C(=O)O,Inactive,0,,,,,,,,,29.55,20,-0.38,0.039,29.55,16.61,9.05,4.52,2.63,3.71,0.9,4.18,2.69,-0.38
394,17414844,2929604,CC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)(C3)C(=O)NC5=CC=CC=C5OC,Inactive,0,,,,,,,,,18.88,20,-0.4,2.5,18.88,6.87,0.85,-0.4,0.96,1.71,2.67,-0.15,0.52,-0.16
395,17386291,6871547,CC1=CC(=C(N1C2=C(C(=CC=C2)Cl)Cl)C)/C=N/NC(=O)C(=O)NC3=C(C=C(C=C3)OC)OC,Inactive,0,,,,,,,,,22.14,10,0.79,0.313,20.66,22.14,17.42,12.5,9.9,5.89,0.79,6.26,4.8,5.51
396,14742014,52997326,CC(=O)O.C1CN=C2N(C1)C(=O)/C(=C/C3=CC=C(C=C3)O)/S2,Inactive,0,,,,,,,,,6.46,0.313,0.16,0.039,1.41,1.49,4.09,3.66,3.37,0.19,6.46,2.9,2.04,0.16
397,17407842,1441807,C1CCC2=NC3=CC(=NN3C(=C2C1)NCC4=CC=CO4)C5=CC(=CC=C5)Cl,Inactive,0,,,,,,,,,10.71,20,-2.2,0.156,10.71,4.55,3.25,-0.26,1.94,-0.24,0.19,-2.2,-0.8,1.78
398,17401272,3463881,CC1=CC=C(C=C1)CSC2=NN=C(S2)NC(=O)C3COC4=CC=CC=C4O3,Inactive,0,,,,,,,,,26.6,20,-1.14,0.156,26.6,12.43,6.29,3.86,2.06,2.62,0.5,-1.14,2.29,0.26
399,14731126,5338377,C1CCCN(CC1)CC(=O)N/N=C/C2=CC=CS2,Inactive,0,,,,,,,,,5.69,10,-1.32,0.078,-0.49,5.69,1.52,0.3,1.7,0.52,2.56,-0.65,-1.32,-0.18
400,17402916,2768569,C1=CC(=CC(=C1)OC2=NC3=C(C=C2)C(=CC(=N3)C(F)(F)F)C(F)(F)F)C(F)(F)F,Inactive,0,,,,,,,,,4.91,2.5,-1.26,0.156,3.1,2.5,2,4.91,3.85,0.98,1.92,-1.26,-0.12,2.54
401,14743915,3981549,CC(C(=O)NC1=C(C=C(C=N1)Cl)Cl)SC2=NC3=CC=CC=C3N2CCOC,Inactive,0,,,,,,,,,21.04,20,-0.81,0.156,21.04,10.55,1.04,0.43,3.52,1.51,0.72,-0.81,2.58,2.46
402,17386523,6159620,CN1/C(=C\C2=C(C=C(C=C2)OC)OC)/C(=O)N(C1=S)CC3CCCO3,Inactive,0,,,,,,,,,4.29,1.25,-2.04,0.039,1.63,3.02,3.75,2.34,4.29,1.07,2.76,3.14,-0.74,-2.04
403,14745578,3949117,CC1=CSC(=N1)NC(=O)CN2C(=O)C3CC=CCC3C2=O,Inactive,0,,,,,,,,,2.49,10,-1.56,0.313,1.87,2.49,0.08,1.69,1.25,0.4,-1.56,0.53,-0.04,-0.64
404,17401192,830644,CC1=NN(C(=O)C1)C2=NC(=CS2)C3=CC=C(C=C3)Cl,Inactive,0,,,,,,,,,8.37,20,-3.52,0.039,8.37,5.35,2.36,4.15,-1.35,-3.36,-3.35,1,4.18,-3.52
405,14718741,135437739,CC1C(=O)N/C(=N\N=C\C2=C(C=CC(=C2)C)OS(=O)(=O)C3=CC=C(C=C3)C)/S1,Inactive,0,,,,,,,,,25.18,20,-2.91,0.078,25.18,5.94,1.45,2.54,-1.17,0.22,0.62,-2.68,-2.91,-1.26
406,17406715,1806316,CCCC(=O)OC1=CC=CC=C1C2SCC3=C(CS2)C=C(C(=C3)C)C,Inactive,0,,,,,,,,,6.38,20,0.44,0.625,6.38,2.75,5.53,6.27,2.34,0.44,4.99,2.93,2.49,0.94
407,17408945,56642957,C1=CC=C2C(=C1)C(=CC=N2)/C=N\NC3=CC=CC=C3C(=O)O.Cl,Inactive,0,,,,,,,,,12.26,20,-3.73,0.039,12.26,3.26,4.1,3.31,-0.28,2.41,-1.81,-0.26,-0.47,-3.73
408,22411036,3270457,CC1CCCN(C1)C(=O)C2=CC(=CC=C2)S(=O)(=O)NC3=C(C=CC(=C3)C(F)(F)F)Cl,Inactive,0,,,,,,,,,28.17,20,-1.65,0.039,28.17,21.37,10.37,7.83,5.5,1.3,4.54,8.27,5.9,-1.65
409,22406627,2080976,CC1=CC=C(C=C1)N2C(=C(C(=N2)C)NC(=O)CCl)C,Inactive,0,,,,,,,,,13.3,20,-2.04,0.039,13.3,8.72,5.65,2.63,5.9,-0.68,3.22,2.94,-0.31,-2.04
410,17504138,135420980,C1=CC=C(C=C1)CCN2C(=C(C(=O)NC2=O)/C=N/NC(=O)C3=CC=NC=C3)O,Inactive,0,,,,,,,,,7.83,20,-4.14,0.625,7.83,7.26,0.4,-1.81,-0.81,-4.14,0.69,-0.53,-3.31,0.16
411,17514421,3305174,CCOC(=O)C1=CC=C(C=C1)NC(=S)N2CCSC2C3=C(C=C(C=C3F)F)F,Inactive,0,,,,,,,,,11.84,20,0.26,0.039,11.84,11.7,5.01,4.78,5.7,0.94,2.86,3.9,0.36,0.26
412,22407463,9656065,C1=CC=C2C(=C1)C=CC(=N2)N/N=C/C3=CC=CC=C3Br,Inactive,0,,,,,,,,,14.71,20,-2.66,1.25,14.71,7.85,0.05,-1.11,-2.66,-1.38,-1.46,1.33,0.2,0.95
413,17517142,6050449,C1=CC(=CC=C1C2=NN(C=C2/C=C/C(=O)C3=CC=C(C=C3)Cl)CCC(=O)O)Br,Inactive,0,,,,,,,,,13.79,20,-2.23,2.5,13.79,4.22,3.21,-2.23,-0.38,,0.74,0.65,0.6,2.43
414,17515315,4252991,CCOC1=CC=C(C=C1)NC(=O)NC2=C(SC(=C2)C3=CC=CC=C3)C(=O)OC,Inactive,0,,,,,,,,,14.67,20,-3.37,0.039,14.67,14.6,9.46,4.47,1.67,-1.79,3.29,-0.41,2.16,-3.37
415,17432169,2015219,CC1=CC=C(C=C1)SCCNC(=S)NC2=CC=CC=C2OC,Inactive,0,,,,,,,,,10.07,20,-3.3,0.078,10.07,2.03,-1.09,2.24,0.8,-3.29,-2.02,-1.9,-3.3,-2.96
416,17516821,4361279,CCN(CC)C(=S)NC1=C(C(=CS1)C2=CC=CC=C2)C(=O)OCC,Inactive,0,,,,,,,,,10.82,20,0.41,1.25,10.82,6.76,4.06,1.89,0.41,0.72,4.78,6.17,2.94,5.92
417,22406467,2391340,CC1=CC=CC=C1N2C(=C(C(=N2)CSC3=NC4=CC=CC=C4N3)C5=CC=CC=C5)N,Inactive,0,,,,,,,,,14.95,20,-2.58,0.313,14.95,1.98,0.56,5.33,2.31,0.48,-2.58,2.15,3.68,-1.91
418,22406672,2118972,CC1=CC(=CC=C1)C2=NN=C(N2CCOC)SCC3=NC4=C(C(=CS4)C5=CC=C(C=C5)Cl)C(=O)N3,Inactive,0,,,,,,,,,17.38,20,-7.01,5,17.38,3.89,-7.01,11.97,-5.01,-1.35,-1.07,-2.59,-2.34,-0.29
419,17431809,1336233,CCCC(=O)NC1=CC(=CC=C1)NC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl,Inactive,0,,,,,,,,,4.08,0.078,-2.73,2.5,1.21,-1.91,1.06,-2.73,2.81,-0.79,2.07,1.03,4.08,1.88
420,17513505,135517128,C1=CC(=C(C(=C1)Cl)Cl)CC2C(=O)NC(=NC3=CC=C(C=C3)Cl)S2,Inactive,0,,,,,,,,,17.93,10,0.67,0.078,12.42,17.93,15.35,7.27,8.67,1.71,8.57,1.62,0.67,2.54
421,17432098,1944452,COC(=O)C1=CC(=CC(=C1)NC(=S)NCC2=CC=C(C=C2)Cl)C(=O)OC,Inactive,0,,,,,,,,,3.37,2.5,-1.18,20,-1.18,0.4,1.02,3.37,2.34,2.72,1.28,1.33,0.52,-0.04
422,17432262,2963825,C1CCN(CC1)C2=C(C=C(C=C2)C(=O)NC3=NC4=CC=CC=C4S3)[N+](=O)[O-],Inactive,0,,,,,,,,,22.11,20,1.18,0.313,22.11,16.11,12.91,17.65,2.93,2.59,1.18,3.05,5.28,2.73
423,17433839,2200149,CC1=CC(=NC2=CC=CC=C12)SCC(=O)C3=C(N(C(=C3)C)CCOC)C,Inactive,0,,,,,,,,,7.16,20,-4.27,0.313,7.16,2.27,1.39,-2.21,0.63,0.43,-4.27,-2.78,-4.16,1.69
424,22407432,2607834,CCN(CC)C(=O)CSC1=N/C(=C/C2=CC=CO2)/C(=O)N1C3=CC(=C(C=C3)OC)Cl,Inactive,0,,,,,,,,,13.3,20,-1.22,0.625,13.3,3.21,1.09,2.03,2.21,-1.22,-1.05,0.62,2.39,-0.66
425,17515612,7202446,CC1=CC(=CC=C1)CSC2=NN3C(=O)C(=NN=C3S2)C,Inactive,0,,,,,,,,,19.08,20,-0.79,0.039,19.08,5.28,6.1,3.07,4.26,0.79,0.72,-0.12,1.16,-0.79
426,17516967,135443903,CC1=NN(C2=C1C(=O)NC(=N2)C(F)(F)F)C3=CC=CC=C3,Inactive,0,,,,,,,,,19.98,20,-2.44,0.039,19.98,7.73,4.68,6.58,1.72,-2.28,-0.59,-2.29,-1.67,-2.44
427,17432481,5333452,C1=CC=C(C=C1)C2=CSC(=N2)N/N=C/C3=CC=CO3,Inactive,0,,,,,,,,,20.87,20,-4.78,0.313,20.87,8.36,3.11,8.86,-1.35,-2.82,-4.78,-1.6,1.96,4.58
428,17432324,6980941,C/C(=N\NS(=O)(=O)C1=CC=CC=C1)/C2=CC(=CC=C2)NC(=O)C3=CC(=CC=C3)Cl,Inactive,0,,,,,,,,,15.95,20,-0.31,0.313,15.95,15.82,7.22,12.91,4.93,1.02,-0.31,3.63,3.22,0.45
429,17433676,135408129,C1=CC=C(C=C1)C2=C(C(=O)NC(=N2)SCC(=O)N(C3=CC=CC=C3)C4=CC=CC=C4)C#N,Inactive,0,,,,,,,,,12.2,20,-1.7,0.039,12.2,10.31,4.73,3.35,4.06,1.2,5.28,5.8,0.4,-1.7
430,17433250,1313417,C1=CC=C2C(=C1)C=CC(=C2Br)OC3=NC=C(C=C3)C(F)(F)F,Inactive,0,,,,,,,,,5.23,1.25,-2.28,0.625,1.17,1.89,0.76,-0.41,5.23,-2.28,-1.2,0.42,-1.3,-0.05
431,17433682,2212014,C1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)NC(=O)CSC3=CC=CC=C3,Inactive,0,,,,,,,,,4.34,10,-3.99,0.625,3.1,4.34,0.35,-2.13,0.12,-3.99,-0.62,-2.44,1.02,-1.46
432,22406262,4693103,CN(C)C(=O)COC(=O)C1=CC=CC=C1NC2=CC=C(C=C2)SC(F)F,Inactive,0,,,,,,,,,23.03,20,-4.36,2.5,23.03,6.58,-2.68,-4.36,-1.69,-1.97,-3.14,-0.89,-0.95,-3.41
433,17433698,873963,CC1=CC(=C(C=C1)C2=CC(=NO2)C3=CC=CC=C3)O,Inactive,0,,,,,,,,,15.58,20,0.75,0.039,15.58,14.99,9.72,2.11,5.33,5.18,3.5,3.41,2.11,0.75
434,17515019,7109952,C1=CC(=C2C(=C1)SC(=N2)NC3=NC4=C(S3)C=C(C=C4)F)F,Inactive,0,,,,,,,,,23.2,10,1.12,0.313,20.85,23.2,16.87,5.06,9.8,3.6,1.12,2.12,3.92,2.78
435,17515951,2699139,CN(CC1=C(C=CC(=C1)Br)OC)CC(=O)NC2=C(C=CC=C2Cl)Cl,Inactive,0,,,,,,,,,28.51,20,-3.86,0.625,28.51,8.95,1.5,0.5,0.81,-3.86,1.47,-2.76,0.85,-0.62
436,22407091,723133,CC1=CC(=NC2=C1C=CC(=C2)OC)SC3=NN=NN3C4=CC=CC=C4,Inactive,0,,,,,,,,,20.94,20,-2.74,0.039,20.94,7.61,5.17,-1.99,-1.74,,-2.16,-1.71,-0.17,-2.74
437,22406267,3944060,COC1=CC2=C(C=C1)N=C(S2)NC(=O)C3=NN(C(=O)CC3)C4=CC=CC=C4,Inactive,0,,,,,,,,,3.34,5,-2.13,20,-2.13,2.66,3.34,-0.52,0.76,-1.1,2.18,-1.69,0.45,0.18
438,17505411,4888078,C1CN(CCN1C2=CC=C(C=C2)F)C3=C(C(=O)N(N=C3)C45CC6CC(C4)CC(C6)C5)Cl,Inactive,0,,,,,,,,,5.27,0.156,-3.76,20,-3.76,-1.53,-2.46,-1.79,-2.34,-0.58,0.03,5.27,4.72,-0.9
439,17514671,3774350,CC1=C(C=C(C=C1)NC2=NC(=C(C(=N2)N3CCOCC3)[N+](=O)[O-])N)C,Inactive,0,,,,,,,,,11.32,20,0.32,0.078,11.32,10.59,2.46,7.34,2.87,4.65,2.32,3,0.32,3.12
440,22402993,6225246,COC1=C(C=CC(=C1)/C=C/C(=O)C2=C(N(C(=O)NC2=O)CCC3=CC=CC=C3)O)O,Inactive,0,,,,,,,,,13.01,20,-4.01,2.5,13.01,4.66,-1.14,-4.01,-1.91,-2.72,-1.37,-0.85,-1.84,0.75
441,22406656,5171158,C1CC(OC1)COC2=CC=C(C=C2)C(=O)NC3=NC4=CC=CC=C4S3,Inactive,0,,,,,,,,,5.66,20,-5.11,0.313,5.66,-1.38,0.33,-3.86,-1.1,-1.51,-5.11,1.96,-2.53,3.63
442,17513086,3737023,CN(CC1=CC=CC=C1)C2=NC(=C(C(=N2)NCC3=CC=CC=C3)[N+](=O)[O-])N,Inactive,0,,,,,,,,,2.02,0.078,-7.95,20,-7.95,-7.85,-2.29,0.82,0.22,1.1,2.01,-0.85,2.02,-0.36
443,22406636,2088490,CC1=CC(=C(C(=C1)C)NC(=O)C2=C(C3=CC=CC=C3O2)COC4=CC=CC=C4)C,Inactive,0,,,,,,,,,14.73,5,0.33,0.039,5.41,6.6,14.73,9.07,2.1,5.48,7.38,0.58,2.04,0.33
444,17515932,4877174,CC1=NN(C(=C1C(=O)NC2CCCC3=CC=CC=C23)Cl)CC4=CC=CC=C4,Inactive,0,,,,,,,,,16.53,20,-1.91,0.078,16.53,9.68,0,5.53,5.8,-0.84,4.73,1.25,-1.91,4.5
445,22406473,2336973,CC1=C(SC(=N1)NC2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,,,,,,,,,4.66,10,-0.18,0.039,3.32,4.66,2.96,2.25,0.26,0.06,3.1,1.14,2.07,-0.18
446,17515484,1589778,CC1=CC=CC=C1OCCSCC2=NC3=CC=CC=C3N2,Inactive,0,,,,,,,,,24.88,20,-1.72,0.039,24.88,7.9,3.14,-1.22,2.93,0.01,-1.1,0.26,0.49,-1.72
447,17517298,4884508,CC1CC(CC2(C1)C(=O)N(C(=O)N2)CC(=O)NCCC3=CNC4=CC=CC=C43)(C)C,Inactive,0,,,,,,,,,23.63,20,1.66,0.625,23.63,10.06,5.29,2.64,4.25,1.66,6.41,2.22,3.21,2
448,17432251,2947452,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NCC2CCCO2,Inactive,0,,,,,,,,,13.12,5,-0.93,0.039,3.96,3.31,13.12,4.7,4.04,5.22,0.64,0.67,2.47,-0.93
449,17513701,2023256,COC1=CC2=C(C=C1)N(C3=NC4=CC=CC=C4N=C23)CC5=CC(=C(C=C5)OC)OC,Inactive,0,,,,,,,,,15.79,20,0.67,0.039,15.79,6.67,7.23,4.81,5.21,5.69,1.75,2.56,1.19,0.67
